ID,Cases
NW-DC38,Ngaka Modiri Molema
1641592800000,16691
1641506400000,16681
1641420000000,16624
1641333600000,16580
1641247200000,16550
1641160800000,16510
1641074400000,16506
1640988000000,16501
1640901600000,16482
1640815200000,16455
1640728800000,16419
1640642400000,16357
1640556000000,16352
1640469600000,16348
1640383200000,16344
1640296800000,16309
1640210400000,16237
1640124000000,16124
1640037600000,16045
1639951200000,15944
1639864800000,15914
1639778400000,15867
1639692000000,15766
1639605600000,15746
1639519200000,15607
1639432800000,15484
1639346400000,15317
1639260000000,15294
1639173600000,15229
1639087200000,15115
1639000800000,14961
1638914400000,14844
1638828000000,14756
1638741600000,14652
1638655200000,14641
1638568800000,14620
1638482400000,14562
1638396000000,14518
1638309600000,14493
1638223200000,14474
1638136800000,14458
1638050400000,14454
1637964000000,14447
1637877600000,14443
1637791200000,14439
1637704800000,14430
1637618400000,14422
1637532000000,14420
1637445600000,14419
1637359200000,14417
1637272800000,14416
1637186400000,14414
1637100000000,14411
1637013600000,14409
1636754400000,14408
1636495200000,14407
1636408800000,14403
1636322400000,14400
1636236000000,14399
1636063200000,14396
1635631200000,14395
1635458400000,14393
1635372000000,14392
1635285600000,14388
1635199200000,14385
1634940000000,14384
1634853600000,14379
1634767200000,14374
1634680800000,14372
1634594400000,14370
1634508000000,14365
1634421600000,14364
1634335200000,14362
1634248800000,14361
1634162400000,14357
1634076000000,14352
1633989600000,14345
1633903200000,14340
1633816800000,14339
1633730400000,14333
1633644000000,14330
1633557600000,14325
1633471200000,14319
1633384800000,14316
1633298400000,14308
1633212000000,14305
1633125600000,14303
1633039200000,14292
1632952800000,14288
1632866400000,14280
1632780000000,14268
1632693600000,14249
1632607200000,14242
1632520800000,14240
1632434400000,14237
1632348000000,14218
1632261600000,14205
1632175200000,14192
1632088800000,14187
1632002400000,14182
1631916000000,14171
1631829600000,14150
1631743200000,14118
1631656800000,14083
1631570400000,14045
1631484000000,14008
1631397600000,14005
1631311200000,13992
1631224800000,13976
1631138400000,13928
1631052000000,13896
1630965600000,13843
1630879200000,13800
1630792800000,13790
1630706400000,13777
1630620000000,13747
1630533600000,13708
1630447200000,13674
1630360800000,13627
1630274400000,13590
1630188000000,13545
1630101600000,13523
1630015200000,13500
1629928800000,13475
1629842400000,13437
1629756000000,13405
1629669600000,13347
1629583200000,13315
1629496800000,13300
1629410400000,13248
1629324000000,13169
1629237600000,13136
1629151200000,13069
1629064800000,12964
1628978400000,12922
1628892000000,12912
1628805600000,12839
1628719200000,12785
